,0,1,2,3,4,5
1293483,4,2003216865,Tue Jun 02 06:06:48 PDT 2009,NO_QUERY,candyflossfairy,@ThisisDavina welcome to twitter a newbie like me!  I'm twittering (or is it tweeting) whilst feeding my baby ace 
1094620,4,1970163391,Sat May 30 02:43:00 PDT 2009,NO_QUERY,Nobodey,"nite, again,  Good dreams. You stt have my heart "
1433119,4,2060384859,Sat Jun 06 18:48:23 PDT 2009,NO_QUERY,maddiiee1,@piroteknix you're 10hrs ahead &amp; a day ago in time diffence. I feel like I'm in the future  I'm living in your tomorrow... Confusing 
1068734,4,1965788951,Fri May 29 16:32:44 PDT 2009,NO_QUERY,cakesofamy,new video up  http://bit.ly/11Dg6k
1545992,4,2182299156,Mon Jun 15 12:59:20 PDT 2009,NO_QUERY,anotorias,@WcFieldsisaDick LOL thanks I thought you just *really* liked Hole 
1176716,4,1981296222,Sun May 31 08:51:20 PDT 2009,NO_QUERY,gaylemccauley,"@jackgraycnn Thanks for your funny answers for Gray Groupies!Membership is 361!My goal has been reached,now to relax and just enjoy you! "
700018,0,2254626114,Sat Jun 20 10:02:16 PDT 2009,NO_QUERY,justineisgreat,GRACE WAKE UP 
1010986,4,1881057240,Fri May 22 03:27:15 PDT 2009,NO_QUERY,georgie_carroll,you belong with me is the top music vid on itunes  I love it so much. Lucas Till is so freaking hot &lt;3
418833,0,2061855163,Sat Jun 06 21:46:06 PDT 2009,NO_QUERY,is_selene,"Dang, I need to charge my ipod. =/ dangggeeeddo. "
330289,0,2012048323,Tue Jun 02 19:59:13 PDT 2009,NO_QUERY,lejlaxo,It's so late! Long day tomorrow.  I need to majorly catch up on sleep.
308419,0,2000681922,Mon Jun 01 22:41:28 PDT 2009,NO_QUERY,nicol3_xoxo,I wish they had emoticons on twitted 
867354,4,1677763673,Sat May 02 03:51:28 PDT 2009,NO_QUERY,sowrongitslucy,"@rosieeejones ahh bad times, was it our dear friend bob "
858520,4,1675754875,Fri May 01 20:15:16 PDT 2009,NO_QUERY,blitzturbo,is cooking another lasagne for dinner with family tonight 
1090661,4,1969819151,Sat May 30 01:20:43 PDT 2009,NO_QUERY,meganvogt,I Plan On Sleeping In Tomorrow. 
1445316,4,2062373760,Sat Jun 06 23:03:07 PDT 2009,NO_QUERY,Mojofeelme,So i havent been on in hella long so i thought i might as well put something new Hi 
558739,0,2204820992,Wed Jun 17 03:13:09 PDT 2009,NO_QUERY,alicephilippa,Urg. Mops face with towel. It's not warm in here and I'm sweating like a pig 
1033928,4,1955891279,Thu May 28 20:48:19 PDT 2009,NO_QUERY,ArdenSYZ,love spending time with sisters tired and relaxing by watching friends 
564199,0,2206135204,Wed Jun 17 06:03:44 PDT 2009,NO_QUERY,deepdormancy,I need photoshop 
38317,0,1573233966,Tue Apr 21 00:15:52 PDT 2009,NO_QUERY,missmei,Other models are making me feel short. Imagine... 
266938,0,1989089771,Mon Jun 01 00:18:44 PDT 2009,NO_QUERY,Jessiievo,@LariiTran OMG!! Where's the trailer? I can't find it on youtube. 
362919,0,2047611576,Fri Jun 05 13:54:49 PDT 2009,NO_QUERY,minambob,@Wolfman700 hey jake i really miss you and dylan and nik out of everyone!!!! i didn't think i would miss youguys that much!!!!  Wats up!!!
277841,0,1991377136,Mon Jun 01 06:55:46 PDT 2009,NO_QUERY,jcbp,"@iamlauren come to think of it.....I had one, and I have one. but but....  tanga ako"
1220138,4,1990020688,Mon Jun 01 03:36:50 PDT 2009,NO_QUERY,Emi_xoxo,"@tommoger thanks tom, and glad it all went well "
